               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022992,            0.017629,            0.011669,             0.61924,             0.67288,              0.6877,             0.51388,            0.020643,           0.0081884,            0.014779,           0.0033227,           0.0033227,            0.070096
                   1,            0.023629,            0.017259,            0.011128,             0.64417,             0.61524,             0.65515,             0.48049,            0.021961,           0.0087161,            0.015079,           0.0059971,           0.0059971,            0.039437
                   2,            0.025625,             0.01818,            0.011302,             0.57303,             0.55528,             0.57903,             0.38406,            0.024866,            0.010155,            0.016096,           0.0080115,           0.0080115,            0.008118
                   3,            0.027276,            0.019794,            0.013976,             0.52095,             0.56566,             0.56697,             0.37938,            0.024646,            0.009784,            0.018837,             0.00703,             0.00703,             0.00703
                   4,            0.027375,            0.019312,            0.013728,             0.52028,             0.58967,             0.57044,             0.37683,            0.025772,             0.01018,            0.016693,             0.00703,             0.00703,             0.00703
                   5,            0.026249,             0.01949,            0.014025,             0.59009,             0.63628,             0.64081,             0.45164,            0.022636,           0.0089399,            0.015589,             0.00604,             0.00604,             0.00604
                   6,            0.025067,            0.018679,            0.013303,             0.60886,             0.63412,             0.64894,             0.46499,            0.021925,           0.0088927,            0.015603,             0.00505,             0.00505,             0.00505
                   7,            0.024089,            0.017872,            0.011996,             0.61921,             0.62223,             0.65212,             0.47693,            0.021325,           0.0086917,            0.015359,             0.00406,             0.00406,             0.00406
                   8,             0.02301,            0.017386,            0.011454,              0.6451,             0.66138,             0.70044,             0.51941,            0.020336,           0.0084033,            0.013669,             0.00307,             0.00307,             0.00307
                   9,            0.021964,            0.016981,            0.010742,             0.61117,             0.68546,             0.68937,             0.52425,            0.019793,           0.0083367,            0.014898,             0.00208,             0.00208,             0.00208
